A1BG	alpha-1-B glycoprotein 
GREM2	gremlin 2, DAN family BMP antagonist 
GRIA1	glutamate ionotropic receptor AMPA type subunit 1 
GRIA2	glutamate ionotropic receptor AMPA type subunit 2 
GRIA3	glutamate ionotropic receptor AMPA type subunit 3 
GRIA4	glutamate ionotropic receptor AMPA type subunit 4 
GRID1	glutamate ionotropic receptor delta type subunit 1 
GRID2	glutamate ionotropic receptor delta type subunit 2 
GRIK1	glutamate ionotropic receptor kainate type subunit 1 
GRIK2	glutamate ionotropic receptor kainate type subunit 2 
GRIK3	glutamate ionotropic receptor kainate type subunit 3 
GRIK4	glutamate ionotropic receptor kainate type subunit 4 
GRIK5	glutamate ionotropic receptor kainate type subunit 5 
GRIN1	glutamate ionotropic receptor NMDA type subunit 1 
GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A 
GRIN2B	glutamate ionotropic receptor NMDA type subunit 2B 
GRIN2C	glutamate ionotropic receptor NMDA type subunit 2C 
GRIN2D	glutamate ionotropic receptor NMDA type subunit 2D 
GRIN3A	glutamate ionotropic receptor NMDA type subunit 3A 
GRIN3B	glutamate ionotropic receptor NMDA type subunit 3B 
GRK2	G protein-coupled receptor kinase 2 
GRK3	G protein-coupled receptor kinase 3 
GRK4	G protein-coupled receptor kinase 4 
GRK5	G protein-coupled receptor kinase 5 
GRM1	glutamate metabotropic receptor 1 
GRM2	glutamate metabotropic receptor 2 
GRM3	glutamate metabotropic receptor 3 
GRM4	glutamate metabotropic receptor 4 
GRM5	glutamate metabotropic receptor 5 
GRM7	glutamate metabotropic receptor 7 
GRM8	glutamate metabotropic receptor 8 
GSK3A	glycogen synthase kinase 3 alpha 
GSK3B	glycogen synthase kinase 3 beta 
GSN	gelsolin 
GSPT1	G1 to S phase transition 1 
GSR	glutathione-disulfide reductase 
GSS	glutathione synthetase 
GSTA1	glutathione S-transferase alpha 1 
GSTA2	glutathione S-transferase alpha 2 
GSTA3	glutathione S-transferase alpha 3 
GSTA4	glutathione S-transferase alpha 4 
GSTA5	glutathione S-transferase alpha 5 
GSTK1	glutathione S-transferase kappa 1 
GSTM1	glutathione S-transferase mu 1 
GSTM2	glutathione S-transferase mu 2 
GSTM3	glutathione S-transferase mu 3 
GSTM4	glutathione S-transferase mu 4 
GSTM5	glutathione S-transferase mu 5 
GSTO1	glutathione S-transferase omega 1 
GSTO2	glutathione S-transferase omega 2 
GSTP1	glutathione S-transferase pi 1 
GSTT1	glutathione S-transferase theta 1 
GSTT2	glutathione S-transferase theta 2 (gene/pseudogene) 
GSTT2B	glutathione S-transferase theta 2B (gene/pseudogene) 
GSTZ1	glutathione S-transferase zeta 1 
GUCA1A	guanylate cyclase activator 1A 
GUCY1A2	guanylate cyclase 1 soluble subunit alpha 2 
GUCY2C	guanylate cyclase 2C 
GUK1	guanylate kinase 1 
GUSB	glucuronidase beta 
GYG1	glycogenin 1 
H1-4	H1.4 linker histone, cluster member 
H19	H19 imprinted maternally expressed transcript 
H2BC10	H2B clustered histone 10 
H6PD	hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase 
HABP2	hyaluronan binding protein 2 
HABP4	hyaluronan binding protein 4 
HADH	hydroxyacyl-CoA dehydrogenase 
HADHA	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha 
HAGH	hydroxyacylglutathione hydrolase 
HAL	histidine ammonia-lyase 
HAO1	hydroxyacid oxidase 1 
HAO2	hydroxyacid oxidase 2 
HAPLN1	hyaluronan and proteoglycan link protein 1 
HAPLN3	hyaluronan and proteoglycan link protein 3 
HAPLN4	hyaluronan and proteoglycan link protein 4 
HARS1	histidyl-tRNA synthetase 1 
HAS3	hyaluronan synthase 3 
HASPIN	histone H3 associated protein kinase 
HBA1	hemoglobin subunit alpha 1 
HBB	hemoglobin subunit beta 
HCAR2	hydroxycarboxylic acid receptor 2 
HCAR3	hydroxycarboxylic acid receptor 3 
HCG22	HLA complex group 22 (gene/pseudogene) 
HCK	HCK proto-oncogene, Src family tyrosine kinase 
HCN2	hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2 
HCRT	hypocretin neuropeptide precursor 
HCRTR1	hypocretin receptor 1 
HCRTR2	hypocretin receptor 2 
HDAC1	histone deacetylase 1 
HDAC10	histone deacetylase 10 
HDAC11	histone deacetylase 11 
HDAC2	histone deacetylase 2 
HDAC3	histone deacetylase 3 
HDAC4	histone deacetylase 4 
HDAC5	histone deacetylase 5 
HDAC6	histone deacetylase 6 
HDAC7	histone deacetylase 7 
HDAC8	histone deacetylase 8 
HDAC9	histone deacetylase 9 
HDC	histidine decarboxylase 
HDGF	heparin binding growth factor 
HEPH	hephaestin 
HEPHL1	hephaestin like 1 
HEXB	hexosaminidase subunit beta 
HFE	homeostatic iron regulator 
HGF	hepatocyte growth factor 
HGS	hepatocyte growth factor-regulated tyrosine kinase substrate 
HIBADH	3-hydroxyisobutyrate dehydrogenase 
HIBCH	3-hydroxyisobutyryl-CoA hydrolase 
HIF1A	hypoxia inducible factor 1 subunit alpha 
HIF1AN	hypoxia inducible factor 1 subunit alpha inhibitor 
HINT1	histidine triad nucleotide binding protein 1 
HIPK2	homeodomain interacting protein kinase 2 
HIPK3	homeodomain interacting protein kinase 3 
HK1	hexokinase 1 
HLA-A	major histocompatibility complex, class I, A 
HLA-B	major histocompatibility complex, class I, B 
HLA-C	major histocompatibility complex, class I, C 
HLA-DPA1	major histocompatibility complex, class II, DP alpha 1 
HLA-DPB1	major histocompatibility complex, class II, DP beta 1 
HLA-DPB2	major histocompatibility complex, class II, DP beta 2 (pseudogene) 
HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1 
HLA-DQA2	major histocompatibility complex, class II, DQ alpha 2 
HLA-DQB1	major histocompatibility complex, class II, DQ beta 1 
HLA-DQB3	major histocompatibility complex, class II, DQ beta 3 
HLA-DRA	major histocompatibility complex, class II, DR alpha 
HLA-DRB1	major histocompatibility complex, class II, DR beta 1 
HLA-DRB3	major histocompatibility complex, class II, DR beta 3 
HLA-DRB4	major histocompatibility complex, class II, DR beta 4 
HLA-DRB5	major histocompatibility complex, class II, DR beta 5 
HLA-E	major histocompatibility complex, class I, E 
HLA-G	major histocompatibility complex, class I, G 
HLCS	holocarboxylase synthetase 
HM13	histocompatibility minor 13 
HMBS	hydroxymethylbilane synthase 
HMGB1	high mobility group box 1 
HMGCL	3-hydroxy-3-methylglutaryl-CoA lyase 
HMGCR	3-hydroxy-3-methylglutaryl-CoA reductase 
HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1 
HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2 
HMMR	hyaluronan mediated motility receptor 
HMOX1	heme oxygenase 1 
HMOX2	heme oxygenase 2 
HNF1A	HNF1 homeobox A 
HNF4A	hepatocyte nuclear factor 4 alpha 
HNF4G	hepatocyte nuclear factor 4 gamma 
HNMT	histamine N-methyltransferase 
HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1 
HNRNPD	heterogeneous nuclear ribonucleoprotein D 
HNRNPF	heterogeneous nuclear ribonucleoprotein F 
HNRNPH1	heterogeneous nuclear ribonucleoprotein H1 
HNRNPH2	heterogeneous nuclear ribonucleoprotein H2 
HNRNPH3	heterogeneous nuclear ribonucleoprotein H3 
HNRNPK	heterogeneous nuclear ribonucleoprotein K 
HNRNPL	heterogeneous nuclear ribonucleoprotein L 
HOMER1	homer scaffold protein 1 
HOTAIR	HOX transcript antisense RNA 
HOXA10	homeobox A10 
HP1BP3	heterochromatin protein 1 binding protein 3 
HPD	4-hydroxyphenylpyruvate dioxygenase 
HPGD	15-hydroxyprostaglandin dehydrogenase 
HPGDS	hematopoietic prostaglandin D synthase 
HPN	hepsin 
HPR	haptoglobin-related protein 
HPRT1	hypoxanthine phosphoribosyltransferase 1 
HPSE	heparanase 
HRAS	HRas proto-oncogene, GTPase 
HRH1	histamine receptor H1 
HRH2	histamine receptor H2 
HRH3	histamine receptor H3 
HRH4	histamine receptor H4 
HRNR	hornerin 
HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1 
HS3ST3A1	heparan sulfate-glucosamine 3-sulfotransferase 3A1 
HSD11B1	hydroxysteroid 11-beta dehydrogenase 1 
HSD11B2	hydroxysteroid 11-beta dehydrogenase 2 
HSD17B1	hydroxysteroid 17-beta dehydrogenase 1 
HSD17B10	hydroxysteroid 17-beta dehydrogenase 10 
HSD17B11	hydroxysteroid 17-beta dehydrogenase 11 
HSD17B2	hydroxysteroid 17-beta dehydrogenase 2 
HSD17B3	hydroxysteroid 17-beta dehydrogenase 3 
HSD17B4	hydroxysteroid 17-beta dehydrogenase 4 
HSD17B6	hydroxysteroid 17-beta dehydrogenase 6 
HSD17B7	hydroxysteroid 17-beta dehydrogenase 7 
HSD17B8	hydroxysteroid 17-beta dehydrogenase 8 
HSD3B1	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1 
HSD3B2	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2 
HSF1	heat shock transcription factor 1 
HSP90AA1	heat shock protein 90 alpha family class A member 1 
HSP90AB1	heat shock protein 90 alpha family class B member 1 
HSP90B1	heat shock protein 90 beta family member 1 
HSPA13	heat shock protein family A (Hsp70) member 13 
HSPA1A	heat shock protein family A (Hsp70) member 1A 
HSPA1L	heat shock protein family A (Hsp70) member 1 like 
HSPA2	heat shock protein family A (Hsp70) member 2 
HSPA4	heat shock protein family A (Hsp70) member 4 
HSPA5	heat shock protein family A (Hsp70) member 5 
HSPA8	heat shock protein family A (Hsp70) member 8 
HSPB1	heat shock protein family B (small) member 1 
HSPD1	heat shock protein family D (Hsp60) member 1 
HSPE1	heat shock protein family E (Hsp10) member 1 
HSPG2	heparan sulfate proteoglycan 2 
HSPH1	heat shock protein family H (Hsp110) member 1 
HTATIP2	HIV-1 Tat interactive protein 2 
HTR1A	5-hydroxytryptamine receptor 1A 
HTR1B	5-hydroxytryptamine receptor 1B 
HTR1D	5-hydroxytryptamine receptor 1D 
HTR1E	5-hydroxytryptamine receptor 1E 
HTR1F	5-hydroxytryptamine receptor 1F 
HTR2A	5-hydroxytryptamine receptor 2A 
HTR2B	5-hydroxytryptamine receptor 2B 
HTR2C	5-hydroxytryptamine receptor 2C 
HTR3A	5-hydroxytryptamine receptor 3A 
HTR3B	5-hydroxytryptamine receptor 3B 
HTR3C	5-hydroxytryptamine receptor 3C 
HTR3D	5-hydroxytryptamine receptor 3D 
HTR3E	5-hydroxytryptamine receptor 3E 
HTR4	5-hydroxytryptamine receptor 4 
HTR5A	5-hydroxytryptamine receptor 5A 
HTR6	5-hydroxytryptamine receptor 6 
HTR7	5-hydroxytryptamine receptor 7 
HTRA1	HtrA serine peptidase 1 
HTT	huntingtin 
HYKK	hydroxylysine kinase 
IAPP	islet amyloid polypeptide 
IARS1	isoleucyl-tRNA synthetase 1 
IARS2	isoleucyl-tRNA synthetase 2, mitochondrial 
ICAM1	intercellular adhesion molecule 1 
ICK	intestinal cell kinase 
IDE	insulin degrading enzyme 
IDH1	isocitrate dehydrogenase (NADP(+)) 1 
IDH2	isocitrate dehydrogenase (NADP(+)) 2 
IDH3A	isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha 
IDH3B	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta 
IDH3G	isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit gamma 
IDI1	isopentenyl-diphosphate delta isomerase 1 
IDO1	indoleamine 2,3-dioxygenase 1 
IDS	iduronate 2-sulfatase 
IDUA	alpha-L-iduronidase 
IFNA2	interferon alpha 2 
IFNAR1	interferon alpha and beta receptor subunit 1 
IFNAR2	interferon alpha and beta receptor subunit 2 
IFNB1	interferon beta 1 
IFNG	interferon gamma 
IFNGR1	interferon gamma receptor 1 
IFNGR2	interferon gamma receptor 2 
IFNL3	interferon lambda 3 
IFNL4	interferon lambda 4 (gene/pseudogene) 
IGF1	insulin like growth factor 1 
IGF1R	insulin like growth factor 1 receptor 
IGF2BP2	insulin like growth factor 2 mRNA binding protein 2 
IGF2R	insulin like growth factor 2 receptor 
IGFALS	insulin like growth factor binding protein acid labile subunit 
IGFBP1	insulin like growth factor binding protein 1 
IGFBP2	insulin like growth factor binding protein 2 
IGFBP3	insulin like growth factor binding protein 3 
IGFBP4	insulin like growth factor binding protein 4 
IGFBP5	insulin like growth factor binding protein 5 
IGFBP6	insulin like growth factor binding protein 6 
IGFBP7	insulin like growth factor binding protein 7 
IGHA1	immunoglobulin heavy constant alpha 1 
IGHA2	immunoglobulin heavy constant alpha 2 (A2m marker) 
IGHG1	immunoglobulin heavy constant gamma 1 (G1m marker) 
IGHG2	immunoglobulin heavy constant gamma 2 (G2m marker) 
IGHG4	immunoglobulin heavy constant gamma 4 (G4m marker) 
IGHM	immunoglobulin heavy constant mu 
IGHV1-2	immunoglobulin heavy variable 1-2 
IGHV3-23	immunoglobulin heavy variable 3-23 
IGHV3-30	immunoglobulin heavy variable 3-30 
IGKC	immunoglobulin kappa constant 
IGKV1-17	immunoglobulin kappa variable 1-17 
IGKV1D-33	immunoglobulin kappa variable 1D-33 
IGKV2-30	immunoglobulin kappa variable 2-30 
IGKV2D-28	immunoglobulin kappa variable 2D-28 
IGKV3-20	immunoglobulin kappa variable 3-20 
IGKV4-1	immunoglobulin kappa variable 4-1 
IGLC1	immunoglobulin lambda constant 1 
IGLL1	immunoglobulin lambda like polypeptide 1 
IGLV2-8	immunoglobulin lambda variable 2-8 
IGLV3-21	immunoglobulin lambda variable 3-21 
IGLV7-43	immunoglobulin lambda variable 7-43 
IGSF10	immunoglobulin superfamily member 10 
IKBKB	inhibitor of nuclear factor kappa B kinase subunit beta 
IKBKE	inhibitor of nuclear factor kappa B kinase subunit epsilon 
IKBKG	inhibitor of nuclear factor kappa B kinase regulatory subunit gamma 
IL10	interleukin 10 
IL11	interleukin 11 
IL11RA	interleukin 11 receptor subunit alpha 
IL12A	interleukin 12A 
IL12B	interleukin 12B 
IL13	interleukin 13 
IL13RA2	interleukin 13 receptor subunit alpha 2 
IL15	interleukin 15 
IL16	interleukin 16 
IL17A	interleukin 17A 
IL17RA	interleukin 17 receptor A 
IL18	interleukin 18 
IL1A	interleukin 1 alpha 
IL1B	interleukin 1 beta 
IL1R1	interleukin 1 receptor type 1 
IL1RN	interleukin 1 receptor antagonist 
IL2	interleukin 2 
IL23A	interleukin 23 subunit alpha 
IL23R	interleukin 23 receptor 
IL2RA	interleukin 2 receptor subunit alpha 
IL2RB	interleukin 2 receptor subunit beta 
IL2RG	interleukin 2 receptor subunit gamma 
IL3	interleukin 3 
IL3RA	interleukin 3 receptor subunit alpha 
IL4	interleukin 4 
IL4I1	interleukin 4 induced 1 
IL4R	interleukin 4 receptor 
IL5	interleukin 5 
IL5RA	interleukin 5 receptor subunit alpha 
IL6	interleukin 6 
IL6R	interleukin 6 receptor 
ILKAP	ILK associated serine/threonine phosphatase 
IMPA1	inositol monophosphatase 1 
IMPA2	inositol monophosphatase 2 
IMPDH1	inosine monophosphate dehydrogenase 1 
IMPDH2	inosine monophosphate dehydrogenase 2 
IMPG2	interphotoreceptor matrix proteoglycan 2 
INCENP	inner centromere protein 
INPP1	inositol polyphosphate-1-phosphatase 
INPP5B	inositol polyphosphate-5-phosphatase B 
INS	insulin 
INSIG2	insulin induced gene 2 
INSR	insulin receptor 
INSRR	insulin receptor related receptor 
INVS	inversin 
IQGAP1	IQ motif containing GTPase activating protein 1 
IRAK1	interleukin 1 receptor associated kinase 1 
IRAK3	interleukin 1 receptor associated kinase 3 
IRAK4	interleukin 1 receptor associated kinase 4
IRF6	interferon regulatory factor 6 
IRGC	immunity related GTPase cinema 
IRS1	insulin receptor substrate 1 
ISG20	interferon stimulated exonuclease gene 20 
ISYNA1	inositol-3-phosphate synthase 1 
ITGA2	integrin subunit alpha 2 
ITGA2B	integrin subunit alpha 2b 
ITGA4	integrin subunit alpha 4 
ITGA5	integrin subunit alpha 5 
ITGAL	integrin subunit alpha L 
ITGAV	integrin subunit alpha V 
ITGB1	integrin subunit beta 1 
ITGB3	integrin subunit beta 3 
ITGB4	integrin subunit beta 4 
ITGB7	integrin subunit beta 7 
ITIH1	inter-alpha-trypsin inhibitor heavy chain 1 
ITIH2	inter-alpha-trypsin inhibitor heavy chain 2 
ITIH3	inter-alpha-trypsin inhibitor heavy chain 3 
ITIH4	inter-alpha-trypsin inhibitor heavy chain 4 
ITK	IL2 inducible T cell kinase 
ITPA	inosine triphosphatase 
ITPKA	inositol-trisphosphate 3-kinase A 
ITPR1	inositol 1,4,5-trisphosphate receptor type 1 
ITPR2	inositol 1,4,5-trisphosphate receptor type 2 
ITPR3	inositol 1,4,5-trisphosphate receptor type 3 
IVD	isovaleryl-CoA dehydrogenase 
IYD	iodotyrosine deiodinase 
JAK1	Janus kinase 1 
JAK2	Janus kinase 2 
JAK3	Janus kinase 3 
JCHAIN	joining chain of multimeric IgA and IgM 
JDP2	Jun dimerization protein 2 
JUN	Jun proto-oncogene, AP-1 transcription factor subunit 
JUP	junction plakoglobin 
KANSL3	KAT8 regulatory NSL complex subunit 3 
KARS1	lysyl-tRNA synthetase 1 
KAT2A	lysine acetyltransferase 2A 
KAT2B	lysine acetyltransferase 2B 
KAT5	lysine acetyltransferase 5 
KCNA1	potassium voltage-gated channel subfamily A member 1 
KCNA10	potassium voltage-gated channel subfamily A member 10 
KCNA2	potassium voltage-gated channel subfamily A member 2 
KCNA3	potassium voltage-gated channel subfamily A member 3 
KCNA4	potassium voltage-gated channel subfamily A member 4 
KCNA5	potassium voltage-gated channel subfamily A member 5 
KCNA6	potassium voltage-gated channel subfamily A member 6 
KCNA7	potassium voltage-gated channel subfamily A member 7 
KCNB1	potassium voltage-gated channel subfamily B member 1 
KCNB2	potassium voltage-gated channel subfamily B member 2 
KCNC1	potassium voltage-gated channel subfamily C member 1 
KCNC2	potassium voltage-gated channel subfamily C member 2 
KCNC3	potassium voltage-gated channel subfamily C member 3 
KCNC4	potassium voltage-gated channel subfamily C member 4 
KCND1	potassium voltage-gated channel subfamily D member 1 
KCND2	potassium voltage-gated channel subfamily D member 2 
KCND3	potassium voltage-gated channel subfamily D member 3 
KCNE1	potassium voltage-gated channel subfamily E regulatory subunit 1 
KCNE2	potassium voltage-gated channel subfamily E regulatory subunit 2 
KCNH1	potassium voltage-gated channel subfamily H member 1 
KCNH2	potassium voltage-gated channel subfamily H member 2 
KCNH6	potassium voltage-gated channel subfamily H member 6 
KCNH7	potassium voltage-gated channel subfamily H member 7 
KCNIP1	potassium voltage-gated channel interacting protein 1 
KCNIP4	potassium voltage-gated channel interacting protein 4 
KCNJ1	potassium inwardly rectifying channel subfamily J member 1 
KCNJ10	potassium inwardly rectifying channel subfamily J member 10 
KCNJ11	potassium inwardly rectifying channel subfamily J member 11 
KCNJ12	potassium inwardly rectifying channel subfamily J member 12 
KCNJ14	potassium inwardly rectifying channel subfamily J member 14 
KCNJ15	potassium inwardly rectifying channel subfamily J member 15 
KCNJ2	potassium inwardly rectifying channel subfamily J member 2 
KCNJ3	potassium inwardly rectifying channel subfamily J member 3 
KCNJ4	potassium inwardly rectifying channel subfamily J member 4 
KCNJ5	potassium inwardly rectifying channel subfamily J member 5 
KCNJ6	potassium inwardly rectifying channel subfamily J member 6 
KCNJ8	potassium inwardly rectifying channel subfamily J member 8 
KCNJ9	potassium inwardly rectifying channel subfamily J member 9 
KCNK1	potassium two pore domain channel subfamily K member 1 
KCNK2	potassium two pore domain channel subfamily K member 2 
KCNK3	potassium two pore domain channel subfamily K member 3 
KCNK6	potassium two pore domain channel subfamily K member 6 
KCNK9	potassium two pore domain channel subfamily K member 9 
KCNMA1	potassium calcium-activated channel subfamily M alpha 1 
KCNMB1	potassium calcium-activated channel subfamily M regulatory beta subunit 1 
KCNMB2	potassium calcium-activated channel subfamily M regulatory beta subunit 2 
KCNMB3	potassium calcium-activated channel subfamily M regulatory beta subunit 3 
KCNMB4	potassium calcium-activated channel subfamily M regulatory beta subunit 4 
KCNN1	potassium calcium-activated channel subfamily N member 1 
KCNN2	potassium calcium-activated channel subfamily N member 2 
KCNN3	potassium calcium-activated channel subfamily N member 3 
KCNN4	potassium calcium-activated channel subfamily N member 4 
KCNQ1	potassium voltage-gated channel subfamily Q member 1 
KCNQ2	potassium voltage-gated channel subfamily Q member 2 
KCNQ3	potassium voltage-gated channel subfamily Q member 3 
KCNQ4	potassium voltage-gated channel subfamily Q member 4 
KCNQ5	potassium voltage-gated channel subfamily Q member 5 
KCNT2	potassium sodium-activated channel subfamily T member 2 
KDM5D	lysine demethylase 5D 
KDR	kinase insert domain receptor 
KEAP1	kelch like ECH associated protein 1 
KEL	Kell metallo-endopeptidase (Kell blood group) 
KHSRP	KH-type splicing regulatory protein 
KIF11	kinesin family member 11 
KIF1A	kinesin family member 1A 
KIF2C	kinesin family member 2C 
KIF6	kinesin family member 6 
KISS1R	KISS1 receptor 
KIT	KIT proto-oncogene, receptor tyrosine kinase 
KL	klotho 
KLB	klotho beta 
KLC1	kinesin light chain 1 
KLC3	kinesin light chain 3 
KLK1	kallikrein 1 
KLK3	kallikrein related peptidase 3 
KLK6	kallikrein related peptidase 6 
KLK7	kallikrein related peptidase 7 
KLKB1	kallikrein B1 
KLRC1	killer cell lectin like receptor C1 
KLRD1	killer cell lectin like receptor D1 
KMT2E	lysine methyltransferase 2E 
KNG1	kininogen 1 
KRAS	KRAS proto-oncogene, GTPase 
KRT1	keratin 1 
KRT10	keratin 10 
KRT12	keratin 12 
KRT14	keratin 14 
KRT16	keratin 16 
KRT2	keratin 2 
KRT5	keratin 5 
KRT6A	keratin 6A 
KRT7	keratin 7 
KRT8	keratin 8 
KRT9	keratin 9 
KRTAP5-2	keratin associated protein 5-2 
KRTAP5-3	keratin associated protein 5-3 
KYAT1	kynurenine aminotransferase 1 
KYAT3	kynurenine aminotransferase 3 
KYNU	kynureninase 
L1CAM	L1 cell adhesion molecule 
L3HYPDH	trans-L-3-hydroxyproline dehydratase 
L3MBTL1	L3MBTL histone methyl-lysine binding protein 1 
LALBA	lactalbumin alpha 
LAMA1	laminin subunit alpha 1 
LAMA3	laminin subunit alpha 3 
LAMA5	laminin subunit alpha 5 
LAMB1	laminin subunit beta 1 
LAMC1	laminin subunit gamma 1 
LAP3	leucine aminopeptidase 3 
LARS1	leucyl-tRNA synthetase 1 
LARS2	leucyl-tRNA synthetase 2, mitochondrial 
LATS1	large tumor suppressor kinase 1 
LAYN	layilin 
LCK	LCK proto-oncogene, Src family tyrosine kinase 
LCMT1	leucine carboxyl methyltransferase 1 
LCMT2	leucine carboxyl methyltransferase 2 
LCN1	lipocalin 1 
LCN2	lipocalin 2 
LCN9	lipocalin 9 
LCT	lactase 
LCTL	lactase like 
LDHA	lactate dehydrogenase A 
LDHAL6A	lactate dehydrogenase A like 6A 
LDHAL6B	lactate dehydrogenase A like 6B 
LDHB	lactate dehydrogenase B 
LDHC	lactate dehydrogenase C 
LDLR	low density lipoprotein receptor 
LEF1	lymphoid enhancer binding factor 1 
LEP	leptin 
LEPR	leptin receptor 
LGALS1	galectin 1 
LGALS2	galectin 2 
LGALS3	galectin 3 
LGALS7	galectin 7 
LGALS9	galectin 9 
LGR5	leucine rich repeat containing G protein-coupled receptor 5 
LGSN	lengsin, lens protein with glutamine synthetase domain 
LHCGR	luteinizing hormone/choriogonadotropin receptor 
LIAS	lipoic acid synthetase 
LIG1	DNA ligase 1 
LIG3	DNA ligase 3 
LIMK1	LIM domain kinase 1 
LIMK2	LIM domain kinase 2 
LINC00251	long intergenic non-protein coding RNA 251 
LIPC	lipase C, hepatic type 
LIPF	lipase F, gastric type 
LIPT1	lipoyltransferase 1 
LKAAEAR1	LKAAEAR motif containing 1 
LMAN1	lectin, mannose binding 1 
LOX	lysyl oxidase 
LPA	lipoprotein(a) 
LPIN1	lipin 1 
LPL	lipoprotein lipase 
LRAT	lecithin retinol acyltransferase 
LRG1	leucine rich alpha-2-glycoprotein 1 
LRMDA	leucine rich melanocyte differentiation associated 
LRP1	LDL receptor related protein 1 
LRP2	LDL receptor related protein 2 
LRRC15	leucine rich repeat containing 15 
LRRK2	leucine rich repeat kinase 2 
LSM6	LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated 
LSS	lanosterol synthase 
LST1	leukocyte specific transcript 1 
LTA	lymphotoxin alpha 
LTA4H	leukotriene A4 hydrolase 
LTB	lymphotoxin beta 
LTB4R	leukotriene B4 receptor 
LTB4R2	leukotriene B4 receptor 2 
LTC4S	leukotriene C4 synthase 
LTF	lactotransferrin 
LTK	leukocyte receptor tyrosine kinase 
LUM	lumican 
LY96	lymphocyte antigen 96 
LYN	LYN proto-oncogene, Src family tyrosine kinase 
LYZ	lysozyme 
M6PR	mannose-6-phosphate receptor, cation dependent 
MAD1L1	mitotic arrest deficient 1 like 1 
MAEA	macrophage erythroblast attacher 
MAFB	MAF bZIP transcription factor B 
MAFK	MAF bZIP transcription factor K 
MALAT1	metastasis associated lung adenocarcinoma transcript 1 
MAN1B1	mannosidase alpha class 1B member 1 
MAN2A1	mannosidase alpha class 2A member 1 
MAOA	monoamine oxidase A 
MAOB	monoamine oxidase B 
MAP1A	microtubule associated protein 1A 
MAP2	microtubule associated protein 2 
MAP2K1	mitogen-activated protein kinase kinase 1 
MAP2K2	mitogen-activated protein kinase kinase 2 
MAP2K3	mitogen-activated protein kinase kinase 3 
MAP2K4	mitogen-activated protein kinase kinase 4 
MAP2K5	mitogen-activated protein kinase kinase 5 
MAP2K6	mitogen-activated protein kinase kinase 6 
MAP3K1	mitogen-activated protein kinase kinase kinase 1 
MAP3K10	mitogen-activated protein kinase kinase kinase 10 
MAP3K11	mitogen-activated protein kinase kinase kinase 11 
MAP3K12	mitogen-activated protein kinase kinase kinase 12 
MAP3K13	mitogen-activated protein kinase kinase kinase 13 
MAP3K15	mitogen-activated protein kinase kinase kinase 15 
MAP3K19	mitogen-activated protein kinase kinase kinase 19 
MAP3K2	mitogen-activated protein kinase kinase kinase 2 
MAP3K20	mitogen-activated protein kinase kinase kinase 20 
MAP3K3	mitogen-activated protein kinase kinase kinase 3 
MAP3K4	mitogen-activated protein kinase kinase kinase 4 
MAP3K5	mitogen-activated protein kinase kinase kinase 5 
MAP3K6	mitogen-activated protein kinase kinase kinase 6 
MAP3K9	mitogen-activated protein kinase kinase kinase 9 
MAP4	microtubule associated protein 4 
MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1 
MAP4K2	mitogen-activated protein kinase kinase kinase kinase 2 
MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3 
MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4 
MAP4K5	mitogen-activated protein kinase kinase kinase kinase 5 
MAPK1	mitogen-activated protein kinase 1 
MAPK10	mitogen-activated protein kinase 10 
MAPK11	mitogen-activated protein kinase 11 
MAPK12	mitogen-activated protein kinase 12 
MAPK13	mitogen-activated protein kinase 13 
MAPK14	mitogen-activated protein kinase 14 
MAPK15	mitogen-activated protein kinase 15 
MAPK3	mitogen-activated protein kinase 3 
MAPK4	mitogen-activated protein kinase 4 
MAPK6	mitogen-activated protein kinase 6 
MAPK7	mitogen-activated protein kinase 7 
MAPK8	mitogen-activated protein kinase 8 
MAPK8IP1	mitogen-activated protein kinase 8 interacting protein 1 
MAPK9	mitogen-activated protein kinase 9 
MAPKAPK2	MAPK activated protein kinase 2 
MAPKAPK3	MAPK activated protein kinase 3 
MAPKAPK5	MAPK activated protein kinase 5 
MAPT	microtubule associated protein tau 
MARCO	macrophage receptor with collagenous structure 
MARK1	microtubule affinity regulating kinase 1 
MARK2	microtubule affinity regulating kinase 2 
MARK3	microtubule affinity regulating kinase 3 
